iter	Passed	Remaining
424	2110	2854
425	2115	2850
426	2120	2845
427	2124	2839
428	2129	2834
429	2134	2829
430	2138	2823
431	2144	2819
432	2149	2814
433	2154	2809
434	2158	2803
435	2163	2798
436	2168	2793
437	2173	2788
438	2178	2784
439	2183	2778
440	2187	2773
441	2193	2768
442	2197	2763
443	2202	2758
444	2207	2753
445	2212	2748
446	2217	2743
447	2222	2739
448	2227	2733
449	2232	2728
450	2237	2723
451	2242	2718
452	2246	2712
453	2251	2707
454	2256	2702
455	2260	2696
456	2264	2691
457	2269	2685
458	2274	2680
459	2279	2675
460	2283	2670
461	2289	2666
462	2294	2660
463	2298	2654
464	2303	2650
465	2319	2658
466	2325	2653
467	2329	2648
468	2335	2643
469	2340	2638
470	2345	2634
471	2350	2629
472	2355	2624
473	2359	2618
474	2365	2614
475	2376	2615
476	2381	2611
477	2386	2606
478	2391	2601
479	2397	2597
480	2402	2591
481	2406	2586
482	2411	2581
483	2417	2576
484	2421	2571
485	2426	2565
486	2431	2561
487	2435	2555
488	2440	2549
489	2445	2544
490	2449	2539
491	2453	2533
492	2459	2529
493	2463	2523
494	2468	2517
495	2472	2512
496	2477	2507
497	2496	2516
498	2500	2510
499	2505	2505
500	2510	2500
501	2516	2496
502	2522	2492
503	2528	2488
504	2533	2482
505	2537	2477
506	2543	2473
507	2548	2468
508	2553	2463
509	2567	2466
510	2575	2465
511	2580	2459
512	2585	2454
513	2590	2449
514	2595	2444
515	2599	2438
516	2604	2433
517	2609	2428
518	2613	2422
519	2617	2416
520	2623	2411
521	2627	2406
522	2631	2400
523	2637	2395
524	2642	2390
525	2646	2384
526	2651	2379
527	2656	2374
528	2660	2368
529	2664	2363
530	2669	2358
531	2673	2352
532	2678	2346
533	2683	2341
534	2687	2335
535	2692	2330
536	2696	2324
537	2700	2319
538	2705	2313
539	2709	2307
540	2717	2305
541	2722	2300
542	2725	2294
543	2733	2291
544	2738	2286
545	2743	2281
546	2748	2276
547	2753	2270
548	2757	2265
549	2764	2262
550	2769	2256
551	2773	2250
552	2777	2245
553	2782	2239
554	2786	2234
555	2790	2228
556	2795	2223
557	2800	2218
558	2804	2212
559	2808	2206
560	2813	2201
561	2817	2196
562	2822	2190
563	2826	2185
564	2831	2179
565	2835	2174
566	2839	2168
567	2844	2163
568	2848	2157
569	2853	2152
570	2857	2146
571	2861	2141
572	2866	2135
573	2870	2130
574	2875	2125
575	2879	2119
576	2883	2113
577	2894	2113
578	2898	2107
579	2902	2102
580	2907	2096
581	2911	2091
582	2915	2085
583	2919	2079
584	2925	2075
585	2930	2070
586	2935	2065
587	2940	2060
588	2945	2055
589	2950	2050
590	2955	2045
591	2960	2040
592	2965	2035
593	2970	2030
594	2974	2024
595	2979	2019
596	2984	2014
597	2989	2009
598	2993	2004
599	2998	1998
600	3003	1993
601	3009	1989
602	3014	1984
603	3020	1980
604	3024	1974
605	3028	1969
606	3036	1965
607	3041	1960
608	3045	1955
609	3050	1950
610	3054	1944
611	3058	1939
612	3063	1933
613	3068	1928
614	3072	1923
615	3076	1917
616	3081	1912
617	3086	1907
618	3090	1902
619	3094	1896
620	3100	1892
621	3104	1886
622	3109	1881
623	3114	1876
624	3119	1871
625	3123	1866
626	3128	1861
627	3133	1856
628	3138	1851
629	3143	1846
630	3148	1841
631	3153	1836
632	3157	1830
633	3163	1826
634	3169	1821
635	3174	1816
636	3179	1811
637	3184	1806
638	3188	1801
639	3194	1796
640	3198	1791
641	3203	1786
642	3208	1781
643	3212	1776
644	3217	1771
645	3222	1765
646	3227	1760
647	3232	1755
648	3236	1750
649	3241	1745
650	3246	1740
651	3250	1735
652	3255	1729
653	3261	1725
654	3265	1720
655	3269	1714
656	3274	1709
657	3279	1704
658	3283	1698
659	3288	1693
660	3293	1688
661	3297	1683
662	3301	1678
663	3307	1673
664	3312	1668
665	3316	1663
666	3323	1659
667	3327	1653
668	3331	1648
669	3337	1643
670	3341	1638
671	3346	1633
672	3359	1632
673	3363	1627
674	3369	1622
675	3373	1617
676	3378	1611
677	3382	1606
678	3387	1601
679	3391	1596
680	3395	1590
681	3400	1585
682	3405	1580
683	3409	1575
684	3414	1569
685	3418	1564
686	3423	1559
687	3427	1554
688	3432	1549
689	3436	1544
690	3441	1538
691	3446	1534
692	3451	1529
693	3456	1523
694	3460	1518
695	3465	1513
696	3470	1508
697	3474	1503
698	3479	1498
699	3484	1493
700	3488	1488
701	3493	1482
702	3498	1477
703	3502	1472
704	3506	1467
705	3512	1462
706	3518	1458
707	3522	1452
708	3527	1447
709	3533	1443
710	3538	1438
711	3543	1433
712	3548	1428
713	3553	1423
714	3558	1418
715	3563	1413
716	3567	1408
717	3571	1402
718	3577	1398
719	3582	1393
720	3586	1387
721	3591	1382
722	3596	1377
723	3600	1372
724	3605	1367
725	3610	1362
726	3614	1357
727	3618	1352
728	3624	1347
729	3629	1342
730	3633	1337
731	3639	1332
732	3644	1327
733	3648	1322
734	3652	1317
735	3658	1312
736	3662	1306
737	3666	1301
738	3671	1296
739	3676	1291
740	3680	1286
741	3685	1281
742	3690	1276
743	3694	1271
744	3698	1266
745	3703	1261
746	3708	1256
747	3713	1250
748	3718	1246
749	3723	1241
750	3727	1235
751	3731	1230
752	3736	1225
753	3742	1220
754	3747	1215
755	3751	1210
756	3757	1206
757	3761	1200
758	3767	1196
759	3771	1191
760	3775	1185
761	3780	1180
762	3785	1175
763	3790	1170
764	3794	1165
765	3799	1160
766	3804	1155
767	3808	1150
768	3814	1145
769	3819	1140
770	3823	1135
771	3828	1130
772	3833	1125
773	3838	1120
774	3842	1115
775	3847	1110
776	3852	1105
777	3856	1100
778	3861	1095
779	3882	1095
780	3888	1090
781	3893	1085
782	3898	1080
783	3903	1075
784	3908	1070
785	3913	1065
786	3917	1060
787	3923	1055
788	3928	1050
789	3932	1045
790	3937	1040
791	3942	1035
792	3947	1030
793	3952	1025
794	3957	1020
795	3962	1015
796	3966	1010
797	3972	1005
798	3986	1002
799	3991	997
800	3995	992
801	4000	987
802	4005	982
803	4009	977
804	4014	972
805	4020	967
806	4024	962
807	4028	957
808	4033	952
809	4038	947
810	4042	942
811	4047	937
812	4052	932
813	4056	926
814	4061	921
815	4075	919
816	4081	914
817	4086	909
818	4090	904
819	4095	898
820	4100	894
821	4104	888
822	4109	883
823	4114	878
824	4119	873
825	4123	868
826	4129	863
827	4134	858
828	4139	853
829	4144	848
830	4150	843
831	4154	838
832	4161	834
833	4165	829
834	4170	824
835	4176	819
836	4181	814
837	4185	809
838	4190	804
839	4194	798
840	4199	793
841	4204	788
842	4209	783
843	4214	778
844	4218	773
845	4223	768
846	4228	763
847	4232	758
848	4237	753
849	4242	748
850	4246	743
851	4250	738
852	4255	733
853	4260	728
854	4264	723
855	4269	718
856	4273	713
857	4278	708
858	4282	702
859	4287	697
860	4291	692
861	4296	687
862	4302	682
863	4306	677
864	4311	672
865	4316	667
866	4321	662
867	4325	657
868	4331	652
869	4337	648
870	4347	643
871	4352	638
872	4357	633
873	4361	628
874	4366	623
875	4371	618
876	4376	613
877	4380	608
878	4385	603
879	4401	600
880	4408	595
881	4412	590
882	4417	585
883	4423	580
884	4427	575
885	4432	570
886	4437	565
887	4442	560
888	4446	555
889	4451	550
890	4457	545
891	4461	540
892	4467	535
893	4472	530
894	4477	525
895	4482	520
896	4487	515
897	4492	510
898	4497	505
899	4502	500
900	4506	495
901	4511	490
902	4516	485
903	4520	480
904	4524	474
905	4529	469
906	4533	464
907	4537	459
908	4541	454
909	4546	449
910	4549	444
911	4554	439
912	4558	434
913	4563	429
914	4567	424
915	4571	419
916	4577	414
917	4581	409
918	4585	404
919	4590	399
920	4594	394
921	4598	389
922	4603	384
923	4608	379
924	4612	373
925	4616	368
926	4621	363
927	4625	358
928	4629	353
929	4634	348
930	4639	343
931	4643	338
932	4647	333
933	4652	328
934	4657	323
935	4661	318
936	4665	313
937	4681	309
938	4687	304
939	4691	299
940	4696	294
941	4701	289
942	4705	284
943	4710	279
944	4714	274
945	4719	269
946	4724	264
947	4729	259
948	4734	254
949	4739	249
950	4743	244
951	4748	239
952	4753	234
953	4758	229
954	4762	224
955	4767	219
956	4772	214
957	4776	209
958	4782	204
959	4787	199
960	4791	194
961	4796	189
962	4801	184
963	4806	179
964	4810	174
965	4815	169
966	4820	164
967	4824	159
968	4830	154
969	4835	149
970	4839	144
971	4844	139
972	4849	134
973	4854	129
974	4858	124
975	4864	119
976	4869	114
977	4873	109
978	4879	104
979	4885	99
980	4889	94
981	4895	89
982	4899	84
983	4904	79
984	4909	74
985	4914	69
986	4918	64
987	4924	59
988	4929	54
989	4933	49
990	4938	44
991	4943	39
992	4947	34
993	4953	29
994	4958	24
995	4963	19
996	4967	14
997	4972	9
998	4977	4
999	4981	0
